Name;Gewicht ;Datum;Supermarkt;Verpackung;Kisten;Erzeuger;GGN;GLN;Haendler
Lollo Bionda;238,9;16.08.2018;Penny;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;304,4;16.08.2018;Penny;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;282,6;16.08.2018;REWE;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;286,6;16.08.2018;REWE;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;214,8;16.08.2018;REWE;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;226,3;16.08.2018;REWE;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Bionda;182,8;16.08.2018;REWE;Stueck;6;NA;NA;4,01E+12;BEHR AG 
Lollo Rosso;372,9;16.08.2018;REWE;Stueck;NA;NA;NA;NA;NA
Lollo Rosso;269,8;16.08.2018;REWE;Stueck;NA;NA;NA;NA;NA
Lollo Rosso;229,7;16.08.2018;REWE;Stueck;NA;NA;NA;NA;NA
Lollo Rosso;205,3;16.08.2018;REWE;Stueck;NA;NA;NA;NA;NA
Lollo Rosso;150,6;16.08.2018;REWE;Stueck;NA;NA;NA;NA;NA
Lollo Rosso;348,4;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Rosso;195,9;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Rosso;320,1;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Rosso;334,4;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Rosso;190,7;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Bionda;379,3;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Bionda;443,6;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lollo Bionda;382,3;16.08.2018;ALDI;Stueck;NA;Dirk Beckedorf, Hamburg;4,05E+12;NA;BEHR AG 
Lauchzwiebeln;140,9;16.08.2018;Penny;Bund;NA;NA;NA;NA;NA
Lauchzwiebeln;121;16.08.2018;Penny;Bund;NA;NA;NA;NA;NA
Lauchzwiebeln;140,1;16.08.2018;Penny;Bund;NA;NA;NA;NA;NA
Lauchzwiebeln;160,3;16.08.2018;Penny;Bund;NA;NA;NA;NA;NA
Lauchzwiebeln;162,9;16.08.2018;Penny;Bund;NA;NA;NA;NA;NA
Lauchzwiebeln;141,4;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Lauchzwiebeln;180,4;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Lauchzwiebeln;197,7;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Lauchzwiebeln;164,9;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Lauchzwiebeln;224,3;16.08.2018;Netto schwarz;Bund;8;Maehlmann Gemuesebau;4,05E+12;NA;ELO (Erzeugergrossmarkt Langfoerden-Oldenburg)
Bundmoehren;1076,6;16.08.2018;ALDI;Bund;NA;NA;NA;NA;NA
Bundmoehren;957,9;16.08.2018;ALDI;Bund;NA;NA;NA;NA;NA
Bundmoehren;1035,1;16.08.2018;ALDI;Bund;NA;NA;NA;NA;NA
Bundmoehren;1056,2;16.08.2018;ALDI;Bund;NA;NA;NA;NA;NA
Bundmoehren;788,8;16.08.2018;ALDI;Bund;NA;NA;NA;NA;NA
Bundmoehren;669,3;16.08.2018;REWE;Bund;6;Axel Meyer, Voegelsen;4,05E+12;NA;Behr AG
Bundmoehren;869,1;16.08.2018;REWE;Bund;6;Axel Meyer, Voegelsen;4,05E+12;NA;Behr AG
Bundmoehren;670,7;16.08.2018;REWE;Bund;6;Axel Meyer, Voegelsen;4,05E+12;NA;Behr AG
Bundmoehren;623,3;16.08.2018;REWE;Bund;6;Axel Meyer, Voegelsen;4,05E+12;NA;Behr AG
Bundmoehren;622,2;16.08.2018;REWE;Bund;6;Axel Meyer, Voegelsen;4,05E+12;NA;Behr AG
Bundmoehren;768;16.08.2018;Netto schwarz;Bund;NA;NA;NA;NA;NA
Bundmoehren;787,3;16.08.2018;Netto schwarz;Bund;NA;NA;NA;NA;NA
Bundmoehren;757,8;16.08.2018;Netto schwarz;Bund;NA;NA;NA;NA;NA
Bundmoehren;696,4;16.08.2018;Netto schwarz;Bund;NA;NA;NA;NA;NA
Bundmoehren;674;16.08.2018;Netto schwarz;Bund;NA;NA;NA;NA;NA
Mairueben;865,1;16.08.2018;ALDI;3er Bund;10;Bernd Uhrbach, Winsen-Luhe;4,05E+12;4,01E+12;Behr AG
Mairueben;935,1;16.08.2018;ALDI;3er Bund;10;Bernd Uhrbach, Winsen-Luhe;4,05E+12;4,01E+12;Behr AG
Mairueben;1081,8;16.08.2018;ALDI;3er Bund;10;Bernd Uhrbach, Winsen-Luhe;4,05E+12;4,01E+12;Behr AG
Mairueben;815,4;16.08.2018;ALDI;3er Bund;10;Bernd Uhrbach, Winsen-Luhe;4,05E+12;4,01E+12;Behr AG
Mairueben;956,1;16.08.2018;ALDI;3er Bund;10;Bernd Uhrbach, Winsen-Luhe;4,05E+12;4,01E+12;Behr AG
Mairueben;860;16.08.2018;REWE;3er Bund;6;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH;NA;NA;NA
Mairueben;775,8;16.08.2018;REWE;3er Bund;6;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH;NA;NA;NA
Mairueben;863,2;16.08.2018;REWE;3er Bund;6;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH;NA;NA;NA
Mairueben;754,8;16.08.2018;REWE;3er Bund;6;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH;NA;NA;NA
Mairueben;1040,5;16.08.2018;REWE;3er Bund;6;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH;NA;NA;NA
Rettich;565,3;16.08.2018;ALDI;Stueck;NA;NA;NA;NA;NA
Rettich;638,7;16.08.2018;ALDI;Stueck;NA;NA;NA;NA;NA
Rettich;582;16.08.2018;ALDI;Stueck;NA;NA;NA;NA;NA
Rettich;396;16.08.2018;ALDI;Stueck;NA;NA;NA;NA;NA
Rettich;450,8;16.08.2018;ALDI;Stueck;NA;NA;NA;NA;NA
Mairueben;1142,9;27.08.2018;Netto rot;3er Bund;10;Domstiftsgut Moetzow Spargel und Beerenfrueuechte GmbH & Co. KG ;NA;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;809,3;27.08.2018;Netto rot;3er Bund;10;Domstiftsgut Moetzow Spargel und Beerenfrueuechte GmbH & Co. KG ;NA;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;1118,8;27.08.2018;Netto rot;3er Bund;10;Domstiftsgut Moetzow Spargel und Beerenfrueuechte GmbH & Co. KG ;NA;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;1399,2;27.08.2018;Netto rot;3er Bund;10;Domstiftsgut Moetzow Spargel und Beerenfrueuechte GmbH & Co. KG ;NA;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;800,2;27.08.2018;Netto rot;3er Bund;10;Domstiftsgut Moetzow Spargel und Beerenfrueuechte GmbH & Co. KG ;NA;NA;Spargel & Beerenfrueuechte Beelitz Vertriebs GmbH
Mairueben;1059,8;27.08.2018;Edeka;3er Bund;NA;NA;NA;NA;NA
Mairueben;1005,3;27.08.2018;Edeka;3er Bund;NA;NA;NA;NA;NA
Mairueben;867,7;27.08.2018;Edeka;3er Bund;NA;NA;NA;NA;NA
Mairueben;620,8;27.08.2018;Edeka;3er Bund;NA;NA;NA;NA;NA
Endievien Salat;453,8;27.08.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Endievien Salat;470,1;27.08.2018;Edeka;Stueck;NA;NA;NA;NA;NA
Bundmoehren;754,4;27.08.2018;Netto rot;Bund;6;NA;NA;4,25E+12;NA
Bundmoehren;878;27.08.2018;Netto rot;Bund;6;NA;NA;4,25E+12;NA
